title,url,ingredients,steps
정말 맛있는 우삼겹 덮밥 규동 레시피! 간단한 한끼로 딱입니다.,https://www.10000recipe.com/recipe/6966065,우삼겹 250g; 양파 1/4개; 설탕 1큰술; 맛술 1큰술; 올리고당 1큰술; 간장 2큰술; 다진마늘 1큰술,"1. 양파 1/4개는 송송 썰어줍니다 | 2. 양념장을 만들어주세요. 설탕 1큰술, 맛술 1큰술, 올리고당 1큰술, 간장 2큰술, 다진마늘 1큰술 | 3. 팬에 우삼겹 250g을 넣고 먼저 볶아주세요. | 4. 고기가 다 익으면 양파를 넣고 후추 살짝 뿌려 1분간 볶아줍니다. | 5. 양파가 반투명하게 익으면 키친타올로 우삼겹의 기름을 닦아주세요. 기름을 안닦고 요리하면 엄청..느끼해져요! | 6. 양념장을 넣고 2분간 볶아주세요. 고춧가루, 청양고추, 페페론치노 추가해도 좋아요 | 7. 뜨거운 밥 위에 올려서 드시면 됩니다. 계란후라이, 달걀노른자 추가하면 더 좋아요"
가지볶음보다 맛있는 가지 스테이크 맛보면 멈출 수 없어요.,https://www.10000recipe.com/recipe/6963110,가지 1개; 간장 2Ts; 설탕 1.5Ts; 식초 1Ts; 다진 마늘 1/2Ts; 버터 2Ts,"1. 가지의 꼭지 부분은 자르고 통으로 두께 1~2cm 크기로 자른다. | 2. 자른 가지는 그릇에 담아 전자레인지에 4~5분 정도 돌린다. 전자레인지 | 3. 간장, 설탕, 식초, 다진 마늘을 넣고 양념을 만든다. | 4. 팬에 버터를 넣고 가지를 약불에서 앞뒤로 굽는다. | 5. 가지의 수분이 빠지고 노릇해지면 양념을 바른다. | 6. 양념을 바른 가지는 약불에서 앞뒤로 굽는다."
돼지고기 김치찌개 달인이 되는 황금레시피,https://www.10000recipe.com/recipe/6961294,돼지고기 앞다리살 500g; 배추김치 1쪽; 대파 1개; 청양고추 2개; 물 800ml; 된장 1숟가락; 들기름 or 참기름 2숟가락; 설탕 1/2숟가락; 다진마늘 1숟가락; 후추 2꼬집,1. 키친타올로 고기 핏물을 제거하고 먹기 좋은 크기로 숭덩숭덩 잘라주세요. 돼지고기는 선호하는 부위를 사용하세요. | 2. 김치도 먹기 좋은 크기로 쫑쫑 썹니다. | 3. 냄비에 들기름 2수저와 된장 1수저 넣고 수저로 섞어주세요. | 4. 섞은 양념은 약불에서 짙은 갈색이 될때까지 볶아줍니다. 약불 | 5. 썰어놓은 고기와 설탕 1/2수저 넣고 중불로 올려 볶아주세요. 중불 | 6. 고기 겉면이 익을 때까지 잘 볶아주세요. 중불 | 7. 썰어놓은 김치를 넣고 열심히 볶아주세요. 중불 | 8. 양념과 수분이 다 졸아들 때까지만 볶으시면 됩니다. 중불 | 9. 물 800ml를 넣고 강불로 끓여주세요. 강불 | 10. 강불에서 팔팔 끓으면 뚜껑 덮고 약불로 줄여 20분간 끓여주세요. 약불 | 11. 그동안 대파는 어슷썰고 청양고추는 송송 썰어주세요. | 12. 20분 뒤 불을 중불로 올린 뒤 다진마늘 1수저와 후추 2꼬집을 넣고 저어주세요. 중불 | 13. 다시 팔팔 끓어오르기 시작하면 대파와 청양고추를 넣고 5분 더 끓여줍니다. 중불 | 14. 모든 재료가 푹 익으면 완성입니다. 김치찌개는 오래 끓여먹어도 맛있으니 취향대로 더 끓여서 드셔도 됩니다.
500원 이면 밥한끼~ 뚝딱하는 팽이버섯조림~ 너무 맛있어용^^~,https://www.10000recipe.com/recipe/6956266,팽이버섯 1봉지; 청양고추 1개; 식용유 2스푼; 다진마늘 1큰술; 고추가루 1/2스푼; 설탕 1스푼; 미림 2스푼; 진간장 1스푼; 굴소스 1/2스푼; 고추장 1/3스푼; 된장 1/3스푼; 물 2스푼; 물엿 1스푼,1. 계량스푼은 집에서 사용하는 8cc 정도의 밥숟가락입니다. 팽이버섯 1봉지~ 약 150g 을 봉지채로 아래에서 3cm 정도 부분을 그대로 썰어 줍니다~ 요래 썰어 주면 뿌리부분에 뿌스러기도 안떨어지고 처리하기가 좋아용~ 우리동네 팽이는 한봉지 180g 인데? 하시는분 걱정 마시고 그냥 다 쓰시면 됩니다~ 그정도 차이는 양념으로 커버 가능함! **사진과 설명으로 부족하신 분은 링크된 동영상 참고 해주세요. 두율이네 유툽 놀러 오시면 더많은 레시피와 최신 레시피를 더 빠르게 보실수 있습니다~ 구독해 주시면 땡큐~~ | 2. 버섯은 흐르는물에 가볍게 씻거나 찬물에 담궈서 10초 정도만 흔들어 주면서 먼지 같은거만 제거합니다~ 팽이버섯은 너무 오래 담그면 팽이 특유의 향이 날아갈 뿐만 아니라~ 아직 살아 있는 아이라~곧 찌지고 뽁아질 지 운명을 모르고 더 오래 장수 할라고 물을 쫙쫙~ 빨아 들여서 나중에 지질때 빨아 먹은 물까지 다 뱉아 내서 철때반죽이 됩니다~ 가볍게 씻어서 물을 탈탈 털어서 준비하세요~ | 3. 버섯을 찢어서 준비하세요~ 한번 찢을때 15줄기 정도가 붙어 있는 정도면 됩니다~ 그렇다고 세아리면서 시간을 보내지는 마시고 대충 찢으시면 됩니다~ 30줄기 40줄기라도 맛있어용~ | 4. 양념장을 분량대로 섞어서 준비 한 다음~ 후라이팬에 식용유 2스푼을 넣고 간마늘 1스푼 (20g)을 부어서 약불에 천천히 노릇하게 튀겨주세요~ 양념 무게는 요요요~ 밑에 참고~ ------ 양념 ------ 고추가루 반스푼 (3~4g) 설탕 1스푼(10g) 미림 2스푼 (16g) 진간장 1스푼 (8g) 굴소스 반스푼 (5g) 물엿 1스푼 (10g) 고추장 1/3스푼 (10g) 된장 1/3스푼 (10g) 물2스푼 (16g) | 5. 마늘이 노릇해 졌으면 마늘기름을 후라이팬에 넓게~ 골고루 흩어서 편 다음 그 위에 팽이 버섯을 펼쳐서 올린 다음 불을 강불로 올리고 30초간 구워 줍니다~ 후라이팬은 좀 넓은걸 쓰세요~ 그래야 더 맛있어요~ 제가 쓴 후라이팬은 24cm 짜리에용~ 한뼘보다 조금 더 큰 싸이즈죠~ | 6. 뒤집어서 30초를 더 구워 주세요~ | 7. 앞뒤로~ 30초씩 총 1분을 지졌으면 양념장을 골고루 끼얹어 줍니다~ 양념을 끼얹고 1분 정도르 자글자글 끓여 주시면 되요~ 사실........ 저는 모양좀 잡을려고 저렇게 했는데 집에서 그냥 반찬으로 드실때는 마늘기름에 팽이넣고 그냥 대충 1분간 휘휘 저어가면서 볶은 다음에 양념장 뿌려서 1분간 또 대충 섞으면서 볶으시면 되요 ^^~ 누구한테 잘보일일 없어서 비쥬얼 필요 없이 먹을땐~ 대충 휘리릭 뽁으세용~ | 8. 청양고추를 1개 잘게 잘라서 뿌려서 올린 다음 30초 정도 더 구워 주세요~ 청양고추랑 같이 주서 먹으면 완전 맛있어요~ 청양고추 안올리시면 그냥 30초 더 구우시면 되요~ | 9. 밥한숟갈 입에 넣고~ 요렇게 양념 슥슥 뭍혀서 청양고추 한개 올리가 입에 넣어주믄 ㅜㅜ... 완전 맛있어용!~!
잡채 황금레시피로 불지않게 맛있게 만드는법,https://www.10000recipe.com/recipe/6953648,당면 300g; 돼지고기 300g; 말린 목이버섯 3개; 시금치 1/2단; 당근 1/2개; 양파 1개; 노란파프리카 1/2개; 빨간파프리카 1/2개; 생 표고버섯 3개; 진간장 2Ts; 맛술 1Ts; 설탕 1Ts; 참기름 1Ts; 다진마늘 1Ts; 후추 조금; 진간장 1/3컵; 설탕 2Ts; 올리고당 2Ts; 식용유 3Ts; 후추 약간; 굴소스 1ts; 물 1컵,"1. 당면과 건 목이버섯은 각각 1시간, 20분정도 불려주세요. 당면 300g은 12인분이라고 되어있으나 4~5인분정도로 보시면 맞습니다. | 2. 잡채 야채 재료들을 길쭉하게 썰어 준비해줄께요. 목이버섯은 손가락크기정도로 썰어주세요. | 3. 잡채용 돼지고기와 표고버섯에 밑간을 해줄께요. 볼에 고기와 표고버섯을 넣고 간장, 맛술, 설탕, 다진마늘, 참기름, 후추 넣고 밑간이 베이게 골고루 주물주물 해주세요. | 4. 끓는 물에 소금을 넣고 시금치 넣고 다시 끓어오르면 건져내어 찬물에 헹구고 물기를 꼭 짜주세요. 물기 짠 시금치에 소금과 참기름만 넣고 살살 무쳐줄께요. | 5. 잡채양념 - 간장, 물, 후추, 올리고당, 설탕, 굴소스, 식용유를 정량대로 넣고 큰 볼에 잘 섞어주면 양념 완성입니다. | 6. 먼저 달궈진 궁중팬에 기름을 살짝 둘러 센불에서 양파, 당근, 파프리카, 목이버섯을 넣고 볶아주세요. 적당히 숨이 죽으면 불을 끄고 따로 접시에 옮겨 담아 한김 식혀주세요. 볶는순서는 스텝 6번부터 차례대로 해주세요. | 7. 같은 팬에 바로 밑간 해 놓은 돼지고기와 표고버섯도 달달달 ~ 볶아주세요. 볶아진 고기도 접시에 펼쳐 한김 식혀줄께요. | 8. 고기 볶았던 팬에 강불로 불을 올리고 잡채양념을 넣고 끓이다가 끓어오르면 바로 불린 당면을 넣고 볶듯이 끓여주세요. | 9. 당면이 익으면 가위로 먹기 좋게 한번씩 잘라주고, 양념이 없어질때 까지 볶다가 불을 꺼주세요. 불린 당면은 삶지 않고, 양념에 직접 볶아야 불지 않고 간도 알맞게 베어 맛있습니다. | 10. 당면까지 다 볶으면 미리 준비해놓은 야채와 고기를 바로 위에 붓고 참기름 뿌려서 골고루 무쳐주세요. 뜨거우니 면장갑과 위생장갑 이용해주세요. | 11. 참깨 솔솔 뿌려 고소함 업 시키면 잡채 완성입니다. 비주얼도 맛도 끝내줍니다. ^^"
"양념하나로 구운가지, 구운호박무침",https://www.10000recipe.com/recipe/6951679,가지 중간크기 2개; 애호박 1개; 간장 3큰술; 고춧가루 1큰술; 참기름 1큰술; 액젓 1/2큰술; 굴소스 1/2큰술; 다진마늘 1/2큰술; 청양고추; 다진파; 통깨,"1. 간장3, 고춧가루1, 참기름1, 액젓 반큰술, 굴소스 반큰술, 다진마늘 반큰술 넣어 만든후 청양고추랑 대파 (양념장 양에맞게) 다져넣어주세요. *설탕이나 매실청 안들어가요~ 가지와 호박을구우면 단맛이 높아집니다. | 2. 가지와 호박은 사진정도 두깨 추천드려요. *가지가 많아보여도 구우면 양이 엄청 줄어들어요 호박도 구워 무쳐놓으면 많은양이 아니에요. | 3. 가지먼저 팬에 기름없이 중불 에서 앞뒤 구워줍니다.(호박먼저 구우면 가지구울때 팬을 한번 씻어야되는 수고스러움이 있어요) | 4. 가지2개 전부 구우니 이정도 나왔네요.가지는 호박보다 부피가 확 줄어들어서 양이 적게 느껴질수 있어요~ 양이 적다싶으신 분들은, 호박은빼고 가지만 4개로하셔서 만들어둔 양념을 모두 사용하시면 됩니다~(위 양념은 반반씩 나눠서 가지2개,호박1개 무치는 양입니다) | 5. 양념 반은 남기고 무쳐주세요. 구워서 쪼글거리니 주름 사이사이 양념이 잘 묻게끔 조물조물 무쳐 깨 솔솔 뿌려주시면 가지무침 완성^^ | 6. 이제 호박도 기름없이 구워주세요. *호박은 가지와달리 진액이 나와서 팬이 누룻누룻 해져요. 노릇해질때까지 구워줬어요(약간 늘러붙음). | 7. 호박도 키친타올을깔고 남은 수분을제거하며 식혀줍니다. 가지보다는 많이 안 쭈글거려요. | 8. 남은양념 반을 모두넣고 살살살 무쳐 깨 솔솔뿌리면 끝~ 호박역시 양이 적다싶으면, 가지를 빼고 호박2개와 양념 모두 사용하시면 됩니다. | 9. 맛깔스럽게 잘 됐어요~ 밥 한공기 뚝딱이네요^^ 쉬운레시피로 맛있게 건강한 한끼 되셔요♡"
"탱글탱글 푸딩처럼 부드러운 급식계란찜 만들기, 중탕달걀찜",https://www.10000recipe.com/recipe/6948688,다시마 5*5CM 2장; 물 200ml; 계란 6개; 맛술 1T; 새우젓국물 1T; 설탕 2ts; 맛소금 1ts; 참기름 1T; 다진파 2T; 다진당근 1T,"1. 물 200ml에 5*5 size 다시마 2장을 넣고 20분정도 두어 다시마 육수를 만듭니다. 미지근한물에 우려내면 더 빨리 우러나요 :) | 2. 큰 그릇이나 볼에 계란 6개를 깨서 넣고 | 3. 맛술 한스푼 | 4. 새우젓국물 1스푼 | 5. 설탕 깎아서 2티스푼 | 6. 맛소금 깎아서 1티스푼 | 7. 참기름 한스푼 넣어줍니다. | 8. 젓가락으로 계란을 잘 풀어주세요 :) | 9. 계란이 어느정도 풀렸으면 다시마 육수를 모두 넣고 잘 풀어 섞어줍니다. | 10. 계란찜을 만들 그릇을 준비해주세요. 내열유리그릇이나 스텐그릇, 열을 가해도 괜찮은 그릇을 준비해주시면 돼요. | 11. 나중에 계란찜이 잘 떨어지도록 그릇에 기름칠을 해줍니다. 이왕이면 고소한 참기름으로~ㅎㅎ 참기름 한스푼 넣고 붓으로 그릇에 꼼꼼하게 잘 묻혀줍니다. | 12. 계란물을 체에 걸러 찜그릇에 담아주세요. 체에 한번 걸러 알끈을 제거해주면 더 부드럽고 맛있는 계란찜이 됩니다. | 13. 요렇게 담아주시면 돼요 :) | 14. 야채는 당근, 대파 두가지만 넣을거에요 :) 대파를 잘게 다져줍니다. | 15. 당근도 잘게 잘게 다져주세요. | 16. 계란물에 다진파, 당근을 넣고 숟가락으로 살짝 섞어줍니다. | 17. 그릇입구에 랩을 씌워줍니다. 랩대신 호일도 괜찮아요 :) | 18. 찜기에 물이 끓으면 준비한 계란물을 담은 그릇을 올려줍니다. | 19. 뚜껑을 닫고 중불에서 20분 쪄주고 20분후에는 불을끄고 5분정도 뜸을 들여줍니다. 중불 | 20. 짜잔~ㅎㅎ 익으면서 계란이 부풀어 올라서 오동통 해졌어요ㅎ | 21. 참기름을 넣었더니 고소한 향이 가득하더라구요 :) | 22. 계란찜을 그릇에서 빼낼때에는 그릇위에 도마를 놓고 뒤집고 그릇을 들어올려주면 계란찜이 쏙~하고 빠져요 :) 그릇이 뜨거우니 손 조심하세요! | 23. 완성된 계란찜은 먹기좋은 크기로 썰어주세요. | 24. 단면에서 보이는 기공마저 매력적인 급식계란찜. 푸딩처럼 탱글탱글하면서 단단한것 같으면서도 먹어보면 식감이 정말 부드러워요. 뚝배기계란찜과는 또다른 식감과 맛!! 급식계란찜만의 매력인것 같네요 :) | 25. 맛있게 만들어 드세요 :)"
지코바 치킨 100% 따라하기,https://www.10000recipe.com/recipe/6948608,닭 1마리; 우유; 떡사리; 청주 3스푼; 다진마늘 2스푼; 청양고추 3개; 물 3스푼; 설탕 2스푼; 고춧가루 1스푼; 간장 3스푼; 물엿 4스푼; 케찹 2스푼; 고추장 1스푼; 후추 1/2~1스푼,"1. 닭 한마리를 흐르는물에 씻어 불순물을 없앤다. 닭은 어떤 닭이든 한마리 양이기만 하면 되지만 기준은 마트에서 파는 닭볶음탕용 닭 한마리이다. 닭고기는 닭다리순살을 추천한다.(퍽퍽살쪽은 양념이 잘 안베어 맛이 없는경우가 있다) | 2. 닭이 잠길정도로 우유를 붓고 청주3스푼을 넣고 섞은 뒤 30분정도 재워준다. | 3. 닭을 재우는 사이 양념들(다진마늘2스푼, 청양고추3개, 물3스푼, 설탕2스푼, 고추가루1스푼, 간장3스푼, 물엿4스푼, 케찹2스푼, 고추장1스푼, 후추반스푼)을 전부 넣고 섞어준다. 들어가는 떡 양에 따라 양념의 양을 조절한다. 떡을 200g 이상 넣을경우 양념을 2배로 한다. | 4. 재워놓은 닭을 흐르는 물에 깨끗이 씻은 뒤 올리브오일을 살짝 두른 후 버무린다. 그 후 예열해놓은 에어프라이어에 180도 25분간 굽는다. 에어프라이어 | 5. 구은지 약 13~5분이 지났다면 뒤집어서 반대편도 구워준다. | 6. 팬에 기름을 살짝 두른 후 떡을 먼저 익혀준다. 약불 | 7. 떡이 말랑말랑해질때 쯤 닭을 넣고 양념을 넣어 버무려준다. 양념이 적당히 베어들면 끝. 약불에서 볶다가 마무리는 강불로 살짝"
닭곰탕보다 더 맛있는 배추닭국 만들기+다대기 양념,https://www.10000recipe.com/recipe/6945458,볶음탕용 닭한마리 1kg; 알배기배추 1/2통; 대파 1대; 양파 1/2개; 통후추 10알; 물 1.8L; 참기름 7큰술; 다진마늘 듬뿍 1큰술; 소금 2~3큰술; 후추 약간; 고춧가루 3숟가락; 닭국물 4숟가락; 다진마늘 1숟가락; 국간장 1숟가락,"1. 재료는 간단해요~ 닭한마리와 알배추 반통, 대파 한대, 양파 반개를 준비해주세요~ 위 재료는 모두 필수입니다. 닭은 영계 두마리나 절단되지 않은 생닭을 사용해도 되지만 볶음탕용 닭을 사면 손질의 과정이 줄어 훨씬 편리해요~ | 2. 닭은 손질할게요~ 닭껍질을 모두 제거하면 감칠맛이 덜하니 너무 꼼꼼히 떼어내진 말고 노랗고 하얀 지방이 뭉쳐져 있는 껍질들만 떼어내고 | 3. 내장과 핏기를 꼼꼼히 제거하며 깨끗하게 하나하나 씻어 체에 밭쳐 물기를 빼두세요~ | 4. 중강불로 냄비를 아주 뜨겁게 달군 후 참기름 넉넉히~ 7스푼 정도를 넣고 중강불 | 5. 손질한 닭을 넣고 촤아아~ 치이익~ 구워주세요~닭의 물기 때문에 기름이 마구 튀어오르니 조심하시고 ^^ 뒤적여가며 고루 익혀줍니다 | 6. 닭의 겉면이 모두 하얗게 익을때까지 구워주고 노릇하게 구워주면 더 좋아요~ 닭의 수분과 넉넉한 참기름 덕분에 타지 않으니 공들여 구우실 필요는 없어용~ | 7. 구워진 닭에 물 1.8리터와 대파 한대, 양파 반개 통후추 10알을 넣고 센불을 켜주세요~ 물은 처음부터 많이 잡지 않고 적은양으로 진하게 우려줄거예요~ 냉동닭이나 잡내가 많이 나는 닭은 이 과정에서 소주 반컵정도 넣어 함께 끓입니다 | 8. 끓어오르기 시작하는 거품에는 참기름이 많이 섞여있으니 걷지 마시고 중앙까지 팔팔 끓어오르면 거품을 걷어내고 뚜껑을 덮어 중불로 줄여 40분간 끓여요~ 중불 | 9. 육수가 끓는 동안 알배추 반포기 큼직하게 숭덩숭덩 썰어놓고 | 10. 고명용 대파 찹찹찹 썰고 | 11. 고춧가루 3, 닭국물 4, 국간장 1, 다진마늘 1, 후추 톡톡 뿌려 섞어 양념다대기 만들어 둡니다. | 12. 40분 후 양파, 대파, 통후추는 건져버리고 닭을 뼈만 바른다는 느낌으로 대충 찢어줍니다. | 13. 뽀얀 닭국물에 찢은 닭과 배추 투하. 불은 중불. 중불 저기 보이는 노란기름은 참기름이니까 걷지마세용 | 14. 보글보글 끓어오르면 다진마늘 듬뿍 봉긋하게 한스푼 넣고 10여분 더 끓여줍니다 | 15. 배추가 익으면서 수분이 나오니까 물은 배추가 푹 익으면 저어보고 추가하세요~ 건더기파는 이대로 끝내도 되고 국물파이시면 물 두컵정도 더 넣으시면 돼요~ | 16. 배추줄기 숨이 죽으면 마지막으로 간하기~ 간은 오로지 소금으로만~ 2~3스푼 정도, 입맛에 맞게 넣어줍니다. | 17. 온기가 오래 가도록 뚝배기나 도자기 그릇에 옮겨담고 파 소복하게 올려 후추 솔솔 뿌려내면 끝~ 국밥처럼 밥을 함께 담아내도 좋아요 | 18. 이보다 더 개운하고 진국일 순 없다. 만드는 과정도 들어가는 재료도 착한 닭배추국. 김치 종류만 바꿔주면 아침, 점심, 저녁 계속 먹어도 좋더라구요~ | 19. 양념다대기 풀어 빨갛게도 먹고~ 칼국수면도 넣어 먹고, 나중에 숙주나 고사리, 고춧가루 팍팍 넣고 닭개장처럼도 즐길 수 있답니다~ | 20. 한 솥 끓여 삼사일~ 반찬 걱정 안해도 되는 고마운 배추닭국 맛있게 드시고 따뜻하고 건강한 환절기 보내세요 :D"
돼지불백 만들기~ 기사식당 스타일 빠삭 돼지불백의 맛을 알려 드립니다!!,https://www.10000recipe.com/recipe/6944180,돼지앞다리살 600g; 다진양파 1/4개; 다진대파 1/2대; 다진마늘 1큰술; 진간장 6스푼; 굴소스 1스푼; 물엿 2스푼; 미림 2스푼; 고추가루 1/2스푼; 설탕 3스푼; 생강가루 1/5스푼; 후추가루 1~2꼬집; 참기름 1스푼,"1. 계량스푼은 집에서 사용하는 8cc 정도의 밥숟가락입니다. 양파와 대파를 잘게 다져주세요. **새로운 레시피 제작에 힘좀 나게 동영상도 좀 시청 해주세용^^... 두율이네 유툽 놀러 오시면 더많은 레시피와 최신 레시피를 더 빠르게 보실수 있습니다~ | 2. 양념장을 모두 한데 넣고 잘섞어 줍니다. 재료별 무게 환산 정보 없는거는 따로 안잰거거나 저울에 측정이 안되는 거니 여러분의 밥숟가락 감을 믿으십시요!! 양파 50g, 대파 40g, 진간장 50cc, 굴소스 10g, 물엿 20g 미림 15g, 고추가루 4g, 설탕 30g, 참기름 5g | 3. 강불로 달궈진 후라이팬에 고기를 넣고 뭉쳐진 부분을 풀어 주면서 익혀주세요. | 4. 고기를 완전히 익혀도 되지만 70% 이상 익으면 양념을 부어 주세요. 우선 양념을 90% 정도만 부어주고 강불에 잘 저으면서 익혀 줍니다. | 5. 이런 비쥬얼로 양념장이 거의 다 졸아 들때까지 볶아 주신 다음 맛을 보시고 간이 더 쎄도 되겠다 싶으면 남은 양념장을 마저 부어서 양념장이 완전히 없어질때까지 볶아 줍니다. | 6. 완성입니다~ 그냥 밥이랑 먹어도 맛있고 쌈에 싸먹어도 맛있어요~"
